,pandemic,covid,covid-19,coronavirus,cases,cdc,fauci,recession,crisis,deaths,restrictions,lockdown,vaccine,vaccines,travel,stimulus,variant,pfizer
2017-10-12,55,0,0,55,91,93,0,92,65,36,80,43,87,73,95,95,95,77
2017-10-13,89,0,0,28,78,88,83,68,56,36,72,25,75,70,93,55,69,41
2017-10-14,55,0,0,0,80,41,0,32,38,31,68,17,62,45,92,58,63,46
2017-10-15,78,0,0,33,91,43,0,42,46,31,56,43,49,38,86,63,56,45
2017-10-16,100,0,0,54,93,84,0,80,68,36,59,27,69,58,97,71,80,57
2017-10-17,90,100,0,0,95,91,0,74,80,39,66,30,90,69,96,92,47,70
2017-10-18,61,0,0,55,87,88,0,60,66,37,60,61,95,79,100,93,52,55
2017-10-19,82,0,0,28,85,90,82,64,67,34,63,57,81,81,95,89,63,74
2017-10-20,85,0,0,0,93,89,0,41,60,28,73,31,78,50,85,45,55,74
2017-10-21,63,0,0,34,84,35,100,41,35,32,57,25,52,58,88,43,30,9
2017-10-22,85,0,0,0,83,51,96,39,47,35,61,14,45,30,89,41,46,39
2017-10-23,90,99,0,27,89,81,0,100,70,38,77,41,78,85,97,99,75,40
2017-10-24,95,0,0,54,88,90,0,68,68,30,63,46,88,100,100,100,66,72
2017-10-25,86,0,0,0,82,100,0,69,69,35,75,35,100,89,100,50,100,60
2017-10-26,86,0,0,27,88,68,0,65,100,39,67,38,97,74,86,61,52,35
2017-10-27,69,0,0,57,90,78,0,56,92,36,79,40,84,67,83,69,35,55
2017-10-28,49,0,0,100,84,39,0,40,53,27,61,15,54,43,79,26,35,15
2017-10-29,72,0,0,33,90,42,0,46,62,34,58,27,56,58,89,44,34,33
2017-10-30,68,0,0,0,91,91,0,63,77,31,65,19,72,61,91,90,60,80
2017-10-31,57,0,0,28,87,91,0,64,78,36,57,32,73,59,87,87,58,64
2017-11-01,44,0,0,0,77,81,0,78,47,65,75,64,89,47,97,88,91,49
2017-11-02,29,0,0,0,78,86,0,79,49,66,72,53,87,50,93,100,83,73
2017-11-03,52,0,0,65,74,67,0,79,41,60,51,81,68,43,90,89,56,91
2017-11-04,51,0,0,0,83,40,0,40,29,52,61,48,58,35,76,51,35,54
2017-11-05,75,0,0,24,81,39,0,46,36,69,65,23,46,35,89,50,45,33
2017-11-06,46,0,0,41,77,80,0,81,41,100,96,50,81,43,96,84,77,69
2017-11-07,74,0,0,0,82,73,0,72,46,86,76,70,91,43,96,73,92,81
2017-11-08,60,50,0,41,80,76,0,72,50,76,69,47,95,47,89,62,82,83
2017-11-09,47,0,0,84,73,88,0,77,46,77,89,41,90,47,89,97,64,82
2017-11-10,79,54,0,66,78,70,0,45,47,60,84,43,79,46,91,51,78,87
2017-11-11,43,0,0,0,69,43,0,33,23,63,73,28,55,41,84,41,53,37
2017-11-12,50,0,0,24,80,45,0,54,27,61,51,17,58,30,83,57,52,23
